taxonID;acceptedNameUsageID;originalNameUsageID;taxonRank;taxonRemarks;vernacularName;scientificName;scientificNameAuthorship;namePublishedInYear;namePublishedIn;namePublishedInID;fossil;kingdom;phylum;class;order;family;references;imageURL;imageLicense;imageCreator
1;;;species;Lemmy Kilmister (Motörhead);;Kalloprion kilmisteri;Eriksson;2006;;doi:10.1080/11035890601282097;;Animalia;Annelida;Polychaeta;Aciculata;Kalloprionidae;;;;
2;;;species;King David;;Kingnites diamondi;Eriksson;2012;;doi:10.1080/11035897.2012.704066;;Animalia;;;;;;;;
3;;;species;Beyoncé;;Scaptia beyonceae;Lessard & Yeates;1972;;doi:10.1111/j.1440-6055.2011.00809.x;;Animalia;Arthropoda;;;;;;;
4;;;species;Frank Zappa;;Oenonites zappae;Eriksson;1972;;http://www.tandfonline.com/doi/pdf/10.1080/11035899709546480#.VQ7Mq-FO3aw;;Animalia;;;;;;;;
5;;;species;Frank Zappa;;Amaurotoma zappa;Plas;1972;;doi:10.5281/zenodo.16284;;Animalia;;;;;;;;
6;;;species;Frank Zappa;;Ranzania zappai;Carnevale;2007;;http://www.stsn.it/it/palaeontographia-italica.html;;Animalia;;;;;;;;
7;;;species;Frank Zappa;;Zappaichthys harzhauseri;Carnevale & Collette;2014;;doi:10.1080/02724634.2014.854801;;Animalia;;;;;;;;
8;;;species;Malcom Young (AC/DC);;Maldybulakia malcomlmi;Edgecombe;1998;;doi:10.3853/j.0067-1975.50.1998.1288;TRUE;Animalia;Arthropoda;;Xiphosura;;;;;
9;;;species;Angus Young (AC/DC);;Maldybulakia angusi;Edgecombe;1998;;doi:10.3853/j.0067-1975.50.1998.1288;TRUE;Animalia;Arthropoda;;Xiphosura;;;;;
10;;;species;Ramones;;Mackenziurus johnny;Edgecombe;1990;;http://hdl.handle.net/2246/5060;;Animalia;Arthropoda;Trilobita;Phacopida;Encrinuridae;;;;
11;;;species;Ramones;;Mackenziurus deedeei;Edgecombe;1990;;http://hdl.handle.net/2246/5060;;Animalia;Arthropoda;Trilobita;Phacopida;Encrinuridae;;;;
12;;;species;Ramones;;Mackenziurus ceejayi;Edgecombe;1990;;http://hdl.handle.net/2246/5060;;Animalia;Arthropoda;Trilobita;Phacopida;Encrinuridae;;;;
13;;;species;Ramones;;Mackenziurus joeyi;Edgecombe;1990;;http://hdl.handle.net/2246/5060;;Animalia;Arthropoda;Trilobita;Phacopida;Encrinuridae;;;;
14;;;species;Sex Pistols;;Arcticalymene viciousi;Adrain & Edgecombe;1997;;http://www.jstor.org/discover/10.2307/1306585?sid=21105712496781&uid=3737760&uid=2129&uid=2&uid=70&uid=4;;Animalia;;;;;;;;
15;;;species;Sex Pistols;;Arcticalymene cooki;Adrain & Edgecombe;1997;;http://www.jstor.org/discover/10.2307/1306585?sid=21105712496781&uid=3737760&uid=2129&uid=2&uid=70&uid=4;;Animalia;;;;;;;;
16;;;species;Sex Pistols;;Arcticalymene rotteni;Adrain & Edgecombe;1997;;http://www.jstor.org/discover/10.2307/1306585?sid=21105712496781&uid=3737760&uid=2129&uid=2&uid=70&uid=4;;Animalia;;;;;;;;
17;;;species;Sex Pistols;;Arcticalymene matlocki;Adrain & Edgecombe;1997;;http://www.jstor.org/discover/10.2307/1306585?sid=21105712496781&uid=3737760&uid=2129&uid=2&uid=70&uid=4;;Animalia;;;;;;;;
18;;;species;Eluveitie;;Paracidaris eluveitie;Hostettler & Menkveld;2015;;;;Animalia;;;;;;;;
19;;;species;Mark Knopfler;;Masiakasaurus knopfleri;Sampson et al.;2001;;doi:10.1038/35054046;;Animalia;Chordata;Reptilia;Saurischia;Noasauridae;;;;
20;;;species;Greg Graffin;;Qiliana graffini;Ji et al.;2011;;doi:10.1111/j.1096-3642.2010.00671.x;;Animalia;;;;;;;;
21;;;genus;Mick Jagger;;Jaggermeryx;Miller et al.;2014;;http://www.bioone.org/doi/full/10.1666/13-122;;Animalia;Chordata;Mammalia;;;;;;
21b;;;species;Mick Jagger;;Jaggermeryx naida;Miller et al.;2014;;http://www.bioone.org/doi/full/10.1666/13-122;;Animalia;Chordata;Mammalia;;;;;;
22;;;species;Mick Jagger;;Aegrotocatellus jaggeri;Adrain & Edgecombe;1995;;http://www.jstor.org/discover/10.2307/1306307?sid=21105734904711&uid=3737760&uid=2&uid=4;;Animalia;;;;;;;;
23;;;species;Mick Jagger;;Anomphalus jaggerius;Miller et al.;1972;;http://jpaleontol.geoscienceworld.org/content/46/2/249.abstract;;Animalia;;;;;;;;
24;;;species;Keith Richards;;Perirehaedulus richardsi;Adrain & Edgecombe;1995;;http://www.jstor.org/discover/10.2307/1306307?sid=21105734904711&uid=3737760&uid=2&uid=4;;Animalia;;;;;;;;
25;;;species;Nanker Phelge;;Aegrotocatellus nankerphelgeorum;Adrain & Edgecombe;1995;;http://www.jstor.org/discover/10.2307/1306307?sid=21105734904711&uid=3737760&uid=2&uid=4;;Animalia;;;;;;;;
26;;;species;Michael Jackson;;Mesoparapylocheles michaeljacksoni;Fraaije et al.;2012;;doi:10.1127/0077-7749/2012/0213;;Animalia;;;;;;;;
27;;;genus;Jimi Hendrix;;Hendrixella;Bannikov & Carnevale;2009;;doi:10.1007/s00015-009-1331-3;;Animalia;;;;;;;;
28;;;species;Robert Fripp;;Frippia labroiformis;Bannikov & Carnevale;2012;;http://link.springer.com/article/10.1007/s00015-009-1331-3;;Animalia;;;;;;;;
29;;;species;Tarkus;;Tarkus squirei;Carnevale & Pietsch;2012;;doi:10.1017/S0016756810000907;;Animalia;;;;;;;;
30;;;species;John Lennon;;Avalanchurus lennoni;Edgecom & Chatte;1993;;https://www.schweizerbart.de/papers/pala/list/A226#issue4-6;;Animalia;;;;;;;;
31;;;species;Ringo Starr;;Avalanchurus starri;Edgecom & Chatte;1993;;https://www.schweizerbart.de/papers/pala/list/A226#issue4-6;;Animalia;;;;;;;;
32;;;species;George Harrison;;Struszia harrisoni;Edgecom & Chatte;1993;;https://www.schweizerbart.de/papers/pala/list/A226#issue4-6;;Animalia;;;;;;;;
33;;;species;Paul McCartney;;Struszia maccartneyi;Edgecom & Chatte;1993;;https://www.schweizerbart.de/papers/pala/list/A226#issue4-6;;Animalia;;;;;;;;
34;;;species;Art Garfunel;;Avalanchurus garfunkeli;Edgecom & Chatte;1993;;https://www.schweizerbart.de/papers/pala/list/A226#issue4-6;;Animalia;;;;;;;;
35;;;species;Paul Simon;;Avalanchurus simoni;Edgecom & Chatte;1993;;https://www.schweizerbart.de/papers/pala/list/A226#issue4-6;;Animalia;;;;;;;;
36;;;species;Miles Davis;;Milesdavis eldredgei;Liebermann;1994;;http://hdl.handle.net/2246/831;;Animalia;;;;;;;;
37;;;genus;David Attenborough;;Sirdavidia;Couvreur et al.;2015;;doi:10.3897/phytokeys.46.8937;;Plantae;;;;;;;;
38;;;species;David Attenborough;;Electrotettix attenboroughi;Heads & Thomas, 2014;2014;A remarkable new pygmy grasshopper (Orthoptera, Tetrigidae) in Miocene amber from the Dominican Republic. ZooKeys 429: 87-100.;doi:10.3897/zookeys.429.8020;;Animalia;Arthropoda;Insecta;Orthoptera;;;;;
39;;;species;David Attenborough;;Hieracium attenboroughianum;Rich;2014;;doi:10.1179/2042349714Y.0000000051;;Plantae;;;;;;;;
40;;;species;David Attenborough;;Polioptila attenboroughi;Whittaker, Aleixo, Smith & Klicka, 2013;2013;A distinctive new species of gnatcatcher in the Polioptila guianensis complex (Aves, Polioptilidae) from western Amazonian Brazil. Lynx Edicions, Barcelona, Catalonia, Spain. Vol. Special volume: new species and global index, Handbook of the Birds of the World Edition: 301-305.;http://treatment.plazi.org/id/67E76402-2B97-4733-856F-ED3A7A1822AC;;Animalia;Chordata;Aves;Passeriformes;;;;;
41;;;species;David Attenborough;;Prethopalpus attenboroughi;Baehr & Harvey, 2012;2012;The new Australasian goblin spider genus Prethopalpus (Araneae, Oonopidae). Bulletin of the American Museum of Natural History 763: 1-113.;http://hdl.handle.net/2246/6185;;Animalia;;;;;;;;
42;;;species;David Attenborough;;Trigonopterus attenboroughi;Riedel, 2014;2014;Ninety-eight new species of Trigonopterus weevils from Sundaland and the Lesser Sunda Islands. ZooKeys 467: 1-162.;doi:10.3897/zookeys.467.8206;;Animalia;Arthropoda;Insecta;Coleoptera;;;;;
43;;;species;David Attenborough;Sir David s Long-beaked Echidna;Zaglossus attenboroughi;Flannery & Groves, 1998;1998;A revision of the genus Zaglossus (Monotremata, Tachyglossidae), with description of new species and subspecies. Mammalia 62(3): 367-396.;doi:10.1515/mamm.1998.62.3.367;;Animalia;Chordata;Mammalia;;Tachyglossidae;;;;
44;;;species;Greedo;;Peckoltia greedoi;Armbruster et al.;1998;;doi:10.3897/zookeys.480.6540;;Animalia;;;;;;;;
45;;;species;Neil Young;;Myrmekiaphila neilyoungi;Jason Bond;2007;;;;Animalia;Arthropoda;Arachnida;;;;;;
46;;;species;Roy Orbison;;Orectochilus orbisonorum;;2008;;;;Animalia;Arthropoda;;Coleoptera;;;;;
47;;;species;Freddie Mercury;;Cirolana mercuryi;;;;;;Animalia;Arthropoda;;;;;;;
48;;;species;Jerry Garcia;;Cryptocercus garciai ;;;;;;Animalia;Arthropoda;Insecta;;;;;;
49;;;species;Green Day;;Macrocarpaea dies-viridis;;;;;;Plantae;;;;;;;;
50;;;species;Frank Zappa;;Pachygnatha zappa;;;;;;Animalia;Arthropoda;Arachnida;;;;;;
51;;52;species;Sting;;Dendropsophus stingi;(Kaplan, 1994);2005;;;;Animalia;Chordata;Amphibia;Anura;Hylidae;;;;
52;51;;species;Sting;;Hyla stingi ;Kaplan, 1994;1994;;doi:10.2307/1564684;;Animalia;Chordata;Amphibia;Anura;Hylidae;;;;
53;;;species;Elvis Presley;;Preseucoela imallshookupis;Buffington, 2004;2004;;http://www.mapress.com/zootaxa/2004f/zt00408.pdf;;Animalia;Arthropoda;Insecta;Hymenoptera;Figitidae;;;;
54;;;species;Brian Eno;;Pseudocorinna brianeno;Jocqué & Bosselaers;2011;;doi:10.1111/j.1096-3642.2010.00679.x;;Animalia;Arthropoda;Arachnida;Araneae;;;;;
55;;;species;James Taylor;;Anacroneuria taylori ;;;;;;Animalia;Arthropoda;Insecta;;;;;;
56;;;species;Carole King;;Anacroneuria carole ;;;;;;Animalia;Arthropoda;Insecta;;;;;;
57;;;species;James Brown;;Funkotriplogynium iagobadius;Seeman & Walter, 1997;1997;;;;Animalia;Arthropoda;Arachnida;Mesostigmata;;;;;
58;;;species;Barack and Michelle Obama;;Teleogramma obamaorum;Stiassny & Alter, 2015;2015;Am. Mus. Novit. 3831:1-18.;doi:10.1206/3831.1;FALSE;Animalia;Chordata;;;Cichlidae;http://www.fishbase.org/summary/67778;;;
59;;;species;Barack Obama;;Tosanoides obama;Pyle, Greene & Kosaki;2016;ZooKeys 641: 165-181;doi:10.3897/zookeys.641.11500;FALSE;Animalia;Chordata;;Perciformes;Serranidae;http://zoobank.org/18C72D73-00C3-40E4-B27F-FA7748A1251E;;;
60;;;genus;Barack Obama;;Obamadon;Longrich et al., 2013;2013;;doi:10.1073/pnas.1303907110;TRUE;Animalia;Chordata;Reptilia;Squamata;;;;;
61;;;species;Barack Obama;;Obamadon gracillis;Longrich et al., 2013;2013;;doi:10.1073/pnas.1303907110;TRUE;Animalia;Chordata;Reptilia;Squamata;;;;;
62;;;genus;Barack Obama;;Baracktrema;Roberts et al., 2016;2016;;doi:10.1645/15-893;FALSE;Animalia;Platyhelminthes;Trematoda;Strigeidida;Schistosomatidae;;;;
63;;;species;Barack Obama;;Baracktrema obamai;Roberts et al., 2016;2016;;doi:10.1645/15-893;FALSE;Animalia;Platyhelminthes;Trematoda;Strigeidida;Schistosomatidae;;;;
64;;;species;Barack Obama;;Etheostoma obama;Mayden & Layman, 2012;2012;Bulletin of the Alabama Museum of Natural History 30:1-83.;;FALSE;Animalia;Chordata;;Perciformes;Percidae;http://specifyassets.nhm.ku.edu/Ichthyology/originals/sp62866480801339482162.att.pdf;;;
65;;;species;Barack Obama;;Caloplaca obamae;K.Knudsen, 2009;2009;Opuscula Philolichenum, 6: 37-40.;;FALSE;Fungi;Lecanoromycetes;;Teloschistales;Teloschistaceae;;;;
66;;;species;Barack Obama;;Aptostichus barackobamai;Bond, 2012;2012;ZooKeys 252: 1-209;doi:10.3897/zookeys.252.3588;FALSE;Animalia;Arthropoda;Arachnida;Araneae;Euctenizidae;https://en.wikipedia.org/wiki/Aptostichus_barackobamai;;;
67;;;species;Barack Obama;;Paragordius obamai;Hanelt, 2012;2012;;doi:10.1371/journal.pone.0034472;FALSE;Animalia;Nematomorpha;;;;;;;
68;;;species;Barack Obama;;Nystalus obamai;Whitney, Piacentini, Schunck, Aleixo, Sousa, Silveira & Rego, 2013;2013;;;FALSE;Animalia;Chordata;Aves;;Bucconidae;http://zoobank.org/NomenclaturalActs/3DCEBC85-2A85-43B5-B84F-6BB705E1AE70;;;
69;;;species;Donald Trump;;Neopalpa donaldtrumpi;Nazari, 2017;2017;ZooKeys 646: 79-94;doi:10.3897/zookeys.646.11411;FALSE;Animalia;Arthropoda;Insecta;Lepidoptera;;https://doi.org/10.3897/zookeys.646.11411;;;
70;;;species;Donald Trump;;Tetragramma donaldtrumpi;Thompson, 2016;2016;Fossil Echinoids of Texas. A Monograph of Fossil Sea Urchins. River Styx Publishing Company: 432.;ISBN:978-1-61704-278-2;TRUE;Animalia;Echinodermata;Echinoidea;;Pseudodiadematidae;http://zoobank.org/NomenclaturalActs/C0F80BB8-728C-4151-B639-C764B5D8FA4A;http://hips.htvapps.com/htv-prod-media.s3.amazonaws.com/images/tetragramma-donaldtrumpi-1478487709.png;;
71;72;;subspecies;Theodore Roose­velt;;Cervus elaphus roosevelti;Merriam, 1897;1897;;;FALSE;Animalia;;;;;http://explorer.natureserve.org/servlet/NatureServe?searchName=Cervus+elaphus+roosevelti;;;
72;;71;subspecies;Theodore Roose­velt;Roosevelt Elk;Cervus canadensis roosevelti;(Merriam, 1897);;;;FALSE;Animalia;Chordata;Mammalia;;Cervidae;https://en.wikipedia.org/wiki/Elk#Taxonomy;;;
73;;;species;Theodore Roose­velt;Roosvelt's Shrew;Crocidura roosevelti;(Heller, 1910);;;;FALSE;Animalia;Chordata;Mammalia;Eulipotyphla;Soricidae;http://www.iucnredlist.org/details/41355/0;;;
74;;;species;Theodore Roose­velt;;Pheidole roosevelti;Mann, 1921;1921;The ants of the Fiji Islands. Bulletin of the Museum of Comparative Zoology, 64: 401-499;doi:10.5281/zenodo.25892 ;FALSE;Animalia;Arthropoda;Insecta;Hymenoptera;Formicidae;http://hol.osu.edu/index.html?id=33974;;;
75;;;species;Isabella Rossellini;;Ptomaphaginus isabellarossellini;Schilthuizen, Njunjić & Perreau;2018;A review of the Cholevinae from the island of Borneo (Coleoptera, Leiodidae). ZooKeys 777: 57-108.;https://doi.org/10.3897/zookeys.777.23212;FALSE;Animalia;Arthropoda;Insecta;Coleoptera;Leiodidae;http://zoobank.org/87C3F9D7-6CBD-4351-B96F-307A65F0716D;;;
76;;;species;David Attenborough;;Kingsleya attenboroughi;Pinheiro & Santana, 2016;2016;A new and endangered species of Kingsleya Ortmann, 1897 (Crustacea: Decapoda: Brachyura: Pseudothelphusidae) from Ceará, northeastern Brazil. Zootaxa 4171 (2): 365-372;http://dx.doi.org/10.11646/zootaxa.4171.2.9;FALSE;Animalia;Arthropoda;Malacostraca;Decapoda;Pseudothelphusidae;;;;
77;;;species;David Attenborough;;Micridium attenboroughi;Darby, 2017;2017;Taxonomic review of the genera Micridium Motschulsky, 1869 and Micridina Johnson, 1969 (Coleoptera: Ptiliidae) with eleven new species including the first records from South America and Madagascar. Zootaxa 4242 (2): 233-254;https://doi.org/10.11646/zootaxa.4242.2.2;FALSE;Animalia;Arthropoda;Insecta;Coleoptera;Ptiliidae;http://zoobank.org/0DD1868D-4EF5-4FB7-AEE9-372644800A79;;;
78;;;species;David Attenborough;;Acisoma attenboroughi;;;Six, not two, species of Acisoma pintail dragonfly (Odonata: Libellulidae). Zootaxa 4109 (2): 153-172;http://doi.org/10.11646/zootaxa.4109.2.3;FALSE;Animalia;Arthropoda;Insecta;Odonata;Libellulidae;;;;
79;;;species;David Attenborough;;Ctenocheloides attenboroughi;Anker, 2010;2010;Ctenocheloides attenboroughi n. gen., n. sp. (Crustacea: Decapoda: Axiidea: Ctenochelidae), a new ghost shrimp with pectinate claw fingers from Madagascar. Journal of Natural History, 44, 1789-1805.;;FALSE;Animalia;Arthropoda;Malacostraca;Decapoda;Callianassidae;;;;
80;;;species;David Attenborough;;Palaina attenboroughi;Greke, 2017;2017;Taxonomic review of Diplommatinidae (Caenogastropoda: Cyclophoroidea) from Wallacea and the Papuan region. In: Biodiversity, biogeography and nature conservation in Wallacea and New Guinea, Volume 3, Biodiversity, biogeography and nature conservation in Wallacea and New Guinea (Telnov, ed.), The Entomolog.;;FALSE;Animalia;Mollusca;Gastropoda;Architaenioglossa;Diplommatinidae;http://zoobank.org/a9e64f72-c826-4226-8e64-8be0d34b43dd;;;
81;;;species;David Attenborough;Attenborough’s Flat Lizard ;Platysaurus attenboroughi;Whiting, Branch, Pepper & Keogh, 2015;2015;A new species of spectacularly coloured flat lizard Platysaurus (Squamata: Cordylidae: Platysaurinae) from southern Africa. Zootaxa 3986 (2): 173-192,;http://dx.doi.org/10.11646/zootaxa.3986.2.2;TRUE;Animalia;Chordata;Reptilia;Squamata;;;;;
82;;;species;David Attenborough;;Materpiscis attenboroughi;Long, Trinajstic, Young & Senden, 2008;2008;;doi:10.1038/nature06966;TRUE;Animalia;Chordata;Placodermi;Ptyctodontida;Ptyctodontidae;https://www.nature.com/articles/nature06966;;;
83;;;species;David Attenborough;;Cavisternum attenboroughi;Baehr & Raven, 2013;2013;Biodiversity discovery program Bush Blitz yields a new species of goblin spider, Cavisternum attenboroughi (Araneae: Oonopidae), from the Northern Territory. Zootaxa 3616 (4): 396-400;http://dx.doi.org/10.11646/zootaxa.3616.4.8;FALSE;Animalia;Arthropoda;Arachnida;Araneae;Oonopidae;;;;
84;;;species;David Attenborough;;Apoleptomastix attenboroughi;Noyes & Hayat, 1994;1994;;;FALSE;Animalia;Arthropoda;Insecta;Hymenoptera;Encyrtidae;;;;
85;;;species;David Attenborough;;Succinalophus attenboroughi;Legalov, 2016;2016;;;FALSE;Animalia;Arthropoda;Insecta;Coleoptera;"Curculionidae
";;;;
86;;;genus;Lou Reed;;Loureedia;Miller 2012;2012;The velvet spiders: an atlas of the Eresidae (Arachnida, Araneae). ZooKeys. 195: 1–144; doi:10.3897/zookeys.195.2342;FALSE;Animalia;Arthropoda;Arachnida;Araneae;Eresidae;https://zookeys.pensoft.net/articles.php?id=2798;;;
87;;;species;Emperor Akihito;;Exyrias akihito;Allen & Randall, 2005;2005;Allen, Gerald R. & John E. Randall. 2005. Exyrias akihito, a new species of coral-reef goby (Gobiidae) from the western Pacific. Raffles Bulletin of Zoology 53(2): 75-79.;;FALSE;Animalia;Chordata;Actinopterygii;Perciformes;Gobiidae;http://zoobank.org/NomenclaturalActs/c0ab159e-00c8-481b-8d3a-2762082df33d;;;
88;;;species;Edward Osborne Wilson;;Pheidole eowilsoni;Longino, 2009;2009;Longino, John T. 2009. Additions to the taxonomy of New World Pheidole (Hymenoptera: Formicidae). Zootaxa 2181: 1-90.;;FALSE;Animalia;Arthropoda;Insecta;Hymenoptera;Formicidae;https://www.mapress.com/zootaxa/list/2009/zt02181.html;;;
89;;;species;Joni Mitchell;;Cortinarius jonimitchelliae;H. Lindstr., Dima, Kytöv., Liimat. & Niskanen;2016;;doi:10.1007/s11557-016-1217-5;FALSE;Fungi;Basidiomycota;Agaricomycotina;Agaricales;Cortinariaceae;http://doi.org/10.1007/s11557-016-1217-5;;;